user,Practice_introduction,Practice_conceptualDesign,Practice_logicalDesign,read_introduction,read_er,read_eer,read_logical
119,0,15,12,0,0,0,0
176,0,44,93,7,60,0,37
177,43,44,68,15,0,0,62
182,96,50,90,84,60,100,62
186,87,53,56,30,20,0,0
187,0,0,0,0,0,0,0
188,28,4,29,100,100,100,100
189,43,64,72,23,0,11,62
190,90,54,92,7,0,0,12
191,96,22,66,7,20,0,0
192,28,26,36,0,0,0,0
193,93,72,76,15,100,11,62
194,81,23,51,7,0,0,50
198,81,40,57,0,0,0,0
199,100,43,90,7,100,0,0
200,50,41,65,84,40,88,25
202,90,31,46,69,20,11,0
204,84,50,96,7,0,0,25
215,93,73,75,100,20,0,100
216,96,61,97,0,0,11,50
217,90,46,72,7,0,0,0
218,90,59,46,15,0,0,0
221,50,57,92,30,20,22,0
222,90,61,67,100,100,88,100
226,100,71,50,23,0,0,0
227,100,58,100,15,0,77,37
231,68,23,22,7,0,0,0
232,100,63,75,0,0,11,0
233,93,47,77,15,0,0,0
235,100,63,76,15,100,0,0
238,100,42,86,0,0,0,0
239,96,48,88,38,20,11,0
240,93,36,36,7,0,0,0
241,96,53,89,7,0,0,0
243,100,57,100,0,0,0,0
244,84,66,46,7,0,0,12
245,87,61,90,100,100,11,100
246,50,19,60,53,0,0,0
247,100,60,99,100,100,100,75
248,100,63,100,7,0,0,37
249,77,35,89,7,0,0,0
253,96,18,45,0,0,0,0
255,100,48,75,0,0,0,0
256,31,35,43,0,0,0,0
258,96,59,100,7,0,0,75
260,78,65,73,61,0,0,12
261,0,11,41,100,100,11,62
262,96,74,77,7,0,0,0
264,96,34,71,30,0,0,12
265,25,4,29,0,0,44,100
266,90,56,96,100,100,100,62
270,46,50,56,30,0,0,0
272,90,57,72,0,0,0,0
273,100,69,77,0,20,0,0
276,50,45,71,0,0,0,0
277,90,33,12,7,0,0,0
278,90,64,36,15,0,0,0
279,100,64,51,7,0,0,75
282,40,39,53,0,0,22,0
283,81,58,90,15,0,77,100
284,84,64,96,0,0,0,0
285,100,54,72,0,0,0,0
286,43,52,97,0,0,0,0
287,93,57,100,15,0,0,87
288,81,42,99,69,20,55,100
