,quiz_id,quiz_title,Type,pass_score,e_class_id,Full_score,tags
0,44,Relational Algebra #1,practice,5.0,31,9.0,relational-algebra
1,44,Relational Algebra #1,practice,5.0,34,9.0,relational-algebra
2,49,Relational Algebra #1 : Assignment,practice,5.0,31,9.0,relational-algebra
3,49,Relational Algebra #1 : Assignment,practice,5.0,34,9.0,relational-algebra
4,55,Chapter 1,practice,5.0,31,10.0,"chapter1, theory"
5,56,Chapter 1,practice,5.0,31,10.0,"chapter1, theory"
6,57,Chapter 1,practice,5.0,31,10.0,"chapter1, theory"
7,58,Chapter 1,practice,5.0,34,10.0,"chapter1, theory"
8,60,Relational Algebra #2,practice,4.0,31,8.0,relational-algebra
9,61,Relational Algebra #2,practice,4.0,34,8.0,relational-algebra
10,62,Relational Algebra #2 : Assignment,practice,7.0,31,13.0,relational-algebra
11,63,Relational Algebra #2 : Assignment,practice,7.0,34,13.0,relational-algebra
12,64,Relational Algebra #3 : JOIN,practice,5.0,31,10.0,relational-algebra
13,65,Relational Algebra #3 : JOIN,practice,5.0,34,10.0,relational-algebra
14,66,Relational Algebra #3 : JOIN : Assignment,practice,5.0,31,10.0,relational-algebra
15,67,Relational Algebra #3 : JOIN : Assignment,practice,5.0,34,10.0,relational-algebra
16,68,Chapter2,practice,7.0,31,14.0,"chapter2, theory"
17,69,Chapter2,practice,7.0,31,14.0,"chapter2, theory"
18,70,Chapter2,practice,7.0,31,14.0,"chapter2, theory"
19,71,Chapter2,practice,7.0,34,14.0,"chapter2, theory"
20,73,Chapter3,practice,7.0,31,13.0,"chapter3, er-concept"
21,74,Chapter3,practice,7.0,31,13.0,"chapter3, er-concept"
22,75,Chapter3,practice,7.0,31,13.0,"chapter3, er-concept"
23,76,Chapter3,practice,7.0,34,13.0,"chapter3, er-concept"
24,77,SQL #4,practice,5.0,31,10.0,sql
25,78,SQL #4 : Assignment,practice,5.0,31,10.0,sql
26,79,SQL #4,practice,5.0,34,10.0,sql
27,80,SQL #4 : Assignment,practice,5.0,34,9.0,sql
