user_id,title_chapter,total_read
62,"1. Introduction to Database System",1
176,"1. Introduction to Database System",1
176,"3. Database Design using ER Model",3
176,"4. Logical Design: Data Model Mapping",3
177,"1. Introduction to Database System",2
177,"4. Logical Design: Data Model Mapping",5
182,"1. Introduction to Database System",4
182,"2  Relational Data Model",7
182,"3. Database Design using ER Model",3
182,"4. Logical Design: Data Model Mapping",5
182,"5. Database Design using EER Model",9
186,"1. Introduction to Database System",2
186,"2  Relational Data Model",2
186,"3. Database Design using ER Model",1
188,"1. Introduction to Database System",6
188,"2  Relational Data Model",7
188,"3. Database Design using ER Model",5
188,"4. Logical Design: Data Model Mapping",8
188,"5. Database Design using EER Model",9
189,"1. Introduction to Database System",3
189,"4. Logical Design: Data Model Mapping",5
189,"5. Database Design using EER Model",1
190,"1. Introduction to Database System",1
190,"4. Logical Design: Data Model Mapping",1
191,"1. Introduction to Database System",1
191,"3. Database Design using ER Model",1
193,"1. Introduction to Database System",1
193,"2  Relational Data Model",1
193,"3. Database Design using ER Model",5
193,"4. Logical Design: Data Model Mapping",5
193,"5. Database Design using EER Model",1
194,"1. Introduction to Database System",1
194,"4. Logical Design: Data Model Mapping",4
199,"1. Introduction to Database System",1
199,"3. Database Design using ER Model",5
200,"1. Introduction to Database System",5
200,"2  Relational Data Model",6
200,"3. Database Design using ER Model",2
200,"4. Logical Design: Data Model Mapping",2
200,"5. Database Design using EER Model",8
202,"1. Introduction to Database System",6
202,"2  Relational Data Model",3
202,"3. Database Design using ER Model",1
202,"5. Database Design using EER Model",1
204,"1. Introduction to Database System",1
204,"4. Logical Design: Data Model Mapping",2
215,"1. Introduction to Database System",6
215,"2  Relational Data Model",7
215,"3. Database Design using ER Model",1
215,"4. Logical Design: Data Model Mapping",8
216,"4. Logical Design: Data Model Mapping",4
216,"5. Database Design using EER Model",1
217,"1. Introduction to Database System",1
218,"1. Introduction to Database System",2
221,"1. Introduction to Database System",3
221,"2  Relational Data Model",1
221,"3. Database Design using ER Model",1
221,"5. Database Design using EER Model",2
222,"1. Introduction to Database System",6
222,"2  Relational Data Model",7
222,"3. Database Design using ER Model",5
222,"4. Logical Design: Data Model Mapping",8
222,"5. Database Design using EER Model",8
226,"1. Introduction to Database System",2
226,"2  Relational Data Model",1
227,"1. Introduction to Database System",2
227,"4. Logical Design: Data Model Mapping",3
227,"5. Database Design using EER Model",7
231,"1. Introduction to Database System",1
232,"5. Database Design using EER Model",1
233,"2  Relational Data Model",2
235,"1. Introduction to Database System",1
235,"2  Relational Data Model",1
235,"3. Database Design using ER Model",5
239,"1. Introduction to Database System",1
239,"2  Relational Data Model",4
239,"3. Database Design using ER Model",1
239,"5. Database Design using EER Model",1
240,"1. Introduction to Database System",1
241,"1. Introduction to Database System",1
244,"2  Relational Data Model",1
244,"4. Logical Design: Data Model Mapping",1
245,"1. Introduction to Database System",6
245,"2  Relational Data Model",7
245,"3. Database Design using ER Model",5
245,"4. Logical Design: Data Model Mapping",8
245,"5. Database Design using EER Model",1
246,"1. Introduction to Database System",1
246,"2  Relational Data Model",6
247,"1. Introduction to Database System",6
247,"2  Relational Data Model",7
247,"3. Database Design using ER Model",5
247,"4. Logical Design: Data Model Mapping",6
247,"5. Database Design using EER Model",9
248,"1. Introduction to Database System",1
248,"4. Logical Design: Data Model Mapping",3
249,"1. Introduction to Database System",1
258,"1. Introduction to Database System",1
258,"4. Logical Design: Data Model Mapping",6
260,"1. Introduction to Database System",1
260,"2  Relational Data Model",7
260,"4. Logical Design: Data Model Mapping",1
261,"1. Introduction to Database System",6
261,"2  Relational Data Model",7
261,"3. Database Design using ER Model",5
261,"4. Logical Design: Data Model Mapping",5
